timestamp,src_ip,dst_ip,protocol,attack_type,src_port,dst_port
60,10.0.202.37,10.0.1.10,tcp,R2L,29983,20000
64,10.0.36.39,10.0.1.10,modbus,U2R,22874,80
64,10.0.243.185,10.0.1.10,dnp3,Probe,60655,80
68,10.0.31.158,10.0.1.10,tcp,Probe,12333,443
75,10.0.203.115,10.0.1.10,dnp3,U2R,46009,443
78,10.0.135.38,10.0.1.10,modbus,U2R,40515,20000
78,10.0.124.107,10.0.1.10,udp,DoS,33256,502
78,10.0.19.203,10.0.1.10,modbus,U2R,21052,80
80,10.0.1.66,10.0.1.10,dnp3,R2L,35502,443
80,10.0.65.88,10.0.1.10,dnp3,U2R,2810,502
83,10.0.140.72,10.0.1.10,udp,Probe,16761,443
84,10.0.26.121,10.0.1.10,udp,MITM,2349,502
85,10.0.232.100,10.0.1.10,tcp,U2R,16361,502
86,10.0.145.40,10.0.1.10,modbus,U2R,24826,80
87,10.0.162.179,10.0.1.10,dnp3,MITM,39097,443
89,10.0.202.174,10.0.1.10,udp,R2L,56429,20000
92,10.0.67.180,10.0.1.10,udp,DoS,30276,443
92,10.0.211.222,10.0.1.10,tcp,Probe,60203,443
96,10.0.32.92,10.0.1.10,tcp,DoS,23663,80
97,10.0.3.118,10.0.1.10,dnp3,R2L,48511,443
98,10.0.245.12,10.0.1.10,tcp,U2R,32885,80
99,10.0.210.110,10.0.1.10,dnp3,BruteForce,3602,20000
100,10.0.67.36,10.0.1.10,dnp3,U2R,47123,20000
101,10.0.27.137,10.0.1.10,modbus,DoS,11274,443
101,10.0.176.244,10.0.1.10,dnp3,U2R,1444,80
103,10.0.204.82,10.0.1.10,modbus,U2R,36144,443
106,10.0.244.48,10.0.1.10,tcp,R2L,19175,502
111,10.0.180.101,10.0.1.10,udp,DoS,18072,80
115,10.0.26.144,10.0.1.10,dnp3,Probe,32088,80
115,10.0.158.214,10.0.1.10,tcp,R2L,35524,80
117,10.0.123.89,10.0.1.10,modbus,DoS,9554,502
119,10.0.10.156,10.0.1.10,tcp,MITM,13776,20000
122,10.0.99.166,10.0.1.10,modbus,R2L,8773,80
122,10.0.105.245,10.0.1.10,dnp3,BruteForce,12251,502
124,10.0.206.58,10.0.1.10,modbus,R2L,34338,20000
126,10.0.4.103,10.0.1.10,dnp3,U2R,21744,502
127,10.0.162.83,10.0.1.10,tcp,U2R,46904,80
133,10.0.191.127,10.0.1.10,tcp,BruteForce,59176,20000
134,10.0.110.229,10.0.1.10,dnp3,R2L,61505,502
137,10.0.208.91,10.0.1.10,dnp3,U2R,3329,443
139,10.0.72.218,10.0.1.10,tcp,DoS,3796,502
141,10.0.62.58,10.0.1.10,dnp3,U2R,25839,443
143,10.0.90.1,10.0.1.10,modbus,DoS,43925,502
143,10.0.189.193,10.0.1.10,dnp3,BruteForce,23151,80
147,10.0.36.208,10.0.1.10,tcp,Probe,37273,80
150,10.0.131.20,10.0.1.10,udp,DoS,51161,20000
154,10.0.75.96,10.0.1.10,dnp3,Probe,44487,502
155,10.0.9.157,10.0.1.10,modbus,DoS,32253,502
161,10.0.224.78,10.0.1.10,modbus,U2R,46148,20000
163,10.0.31.128,10.0.1.10,dnp3,U2R,17832,20000
164,10.0.169.173,10.0.1.10,tcp,Probe,50043,502
164,10.0.76.1,10.0.1.10,dnp3,BruteForce,41573,443
171,10.0.123.126,10.0.1.10,modbus,U2R,33314,502
172,10.0.204.51,10.0.1.10,dnp3,MITM,62630,20000
172,10.0.33.216,10.0.1.10,modbus,Probe,62264,80
173,10.0.16.99,10.0.1.10,tcp,DoS,7451,443
173,10.0.117.50,10.0.1.10,modbus,BruteForce,40890,502
180,10.0.218.56,10.0.1.10,dnp3,BruteForce,39014,80
183,10.0.26.212,10.0.1.10,udp,DoS,28156,20000
188,10.0.31.153,10.0.1.10,dnp3,Probe,44645,20000
190,10.0.8.134,10.0.1.10,tcp,R2L,13484,80
192,10.0.143.81,10.0.1.10,modbus,Probe,62525,502
195,10.0.137.137,10.0.1.10,dnp3,MITM,50771,502
204,10.0.36.194,10.0.1.10,tcp,BruteForce,41549,80
204,10.0.134.35,10.0.1.10,udp,R2L,35848,502
205,10.0.226.189,10.0.1.10,tcp,Probe,49646,443
207,10.0.173.92,10.0.1.10,udp,Probe,47922,80
208,10.0.115.236,10.0.1.10,dnp3,BruteForce,52685,20000
212,10.0.30.197,10.0.1.10,modbus,DoS,36754,20000
213,10.0.141.107,10.0.1.10,udp,DoS,39760,443
214,10.0.90.112,10.0.1.10,udp,DoS,5024,443
214,10.0.86.189,10.0.1.10,udp,BruteForce,61296,20000
215,10.0.198.105,10.0.1.10,dnp3,R2L,54110,443
217,10.0.173.84,10.0.1.10,udp,DoS,25481,443
