config,kind,policy,seed,opened
spoof_low,spoof,naive,2101,True
spoof_low,spoof,auth_required,2101,True
spoof_low,spoof,no_auth,2101,True
spoof_low,spoof,naive,2102,True
spoof_low,spoof,auth_required,2102,True
spoof_low,spoof,no_auth,2102,True
spoof_low,spoof,naive,2103,True
spoof_low,spoof,auth_required,2103,True
spoof_low,spoof,no_auth,2103,True
spoof_med,spoof,naive,2101,True
spoof_med,spoof,auth_required,2101,True
spoof_med,spoof,no_auth,2101,True
spoof_med,spoof,naive,2102,True
spoof_med,spoof,auth_required,2102,True
spoof_med,spoof,no_auth,2102,True
spoof_med,spoof,naive,2103,True
spoof_med,spoof,auth_required,2103,True
spoof_med,spoof,no_auth,2103,True
spoof_high,spoof,naive,2101,True
spoof_high,spoof,auth_required,2101,True
spoof_high,spoof,no_auth,2101,True
spoof_high,spoof,naive,2102,True
spoof_high,spoof,auth_required,2102,True
spoof_high,spoof,no_auth,2102,True
spoof_high,spoof,naive,2103,True
spoof_high,spoof,auth_required,2103,True
spoof_high,spoof,no_auth,2103,True
benign_cmd_0,benign,naive,2101,True
benign_cmd_0,benign,auth_required,2101,False
benign_cmd_0,benign,no_auth,2101,True
benign_cmd_0,benign,naive,2102,True
benign_cmd_0,benign,auth_required,2102,False
benign_cmd_0,benign,no_auth,2102,True
benign_cmd_0,benign,naive,2103,True
benign_cmd_0,benign,auth_required,2103,False
benign_cmd_0,benign,no_auth,2103,True
benign_cmd_1,benign,naive,2101,True
benign_cmd_1,benign,auth_required,2101,False
benign_cmd_1,benign,no_auth,2101,True
benign_cmd_1,benign,naive,2102,True
benign_cmd_1,benign,auth_required,2102,False
benign_cmd_1,benign,no_auth,2102,True
benign_cmd_1,benign,naive,2103,True
benign_cmd_1,benign,auth_required,2103,False
benign_cmd_1,benign,no_auth,2103,True
