id,family,rating_faithful,rating_useful,rater_id,notes
rev-1034,paraphrased_alert,,,,
rev-6008,ood_attack_label,,,,
rev-2013,conflicting_telemetry,,,,
rev-1009,paraphrased_alert,,,,
rev-4002,prompt_injection,,,,
rev-0019,scenario_derived,,,,
rev-5003,memory_poisoning,,,,
rev-4001,prompt_injection,,,,
rev-4014,prompt_injection,,,,
rev-0002,scenario_derived,,,,
rev-7011,benign_but_suspicious,,,,
rev-1017,paraphrased_alert,,,,
rev-6006,ood_attack_label,,,,
rev-1017,paraphrased_alert,,,,
rev-1032,paraphrased_alert,,,,
rev-2003,conflicting_telemetry,,,,
rev-2012,conflicting_telemetry,,,,
rev-1002,paraphrased_alert,,,,
rev-2004,conflicting_telemetry,,,,
rev-1032,paraphrased_alert,,,,
rev-6014,ood_attack_label,,,,
rev-7006,benign_but_suspicious,,,,
rev-6002,ood_attack_label,,,,
rev-3005,malformed_alert,,,,
rev-1016,paraphrased_alert,,,,
rev-0013,scenario_derived,,,,
rev-2005,conflicting_telemetry,,,,
rev-0016,scenario_derived,,,,
rev-1000,paraphrased_alert,,,,
rev-1002,paraphrased_alert,,,,
rev-0011,scenario_derived,,,,
rev-6012,ood_attack_label,,,,
rev-0015,scenario_derived,,,,
rev-7007,benign_but_suspicious,,,,
rev-0006,scenario_derived,,,,
rev-0001,scenario_derived,,,,
rev-0008,scenario_derived,,,,
rev-1011,paraphrased_alert,,,,
rev-1018,paraphrased_alert,,,,
rev-0000,scenario_derived,,,,
