condition,estimator,top1,mean_regret,median_regret,p95_regret,worst_regret
nominal,E60,0.3333333333333333,76.340170929483,14.911805555555244,226.1954405929046,226.66226657329506
nominal,EH,1.0,0.0,0.0,0.0,0.0
horizon_-50%,E60,0.3333333333333333,76.340170929483,14.911805555555244,226.1954405929046,226.66226657329506
horizon_-50%,EH,1.0,0.0,0.0,0.0,0.0
horizon_-25%,E60,0.3333333333333333,76.340170929483,14.911805555555244,226.1954405929046,226.66226657329506
horizon_-25%,EH,1.0,0.0,0.0,0.0,0.0
horizon_+25%,E60,0.3333333333333333,76.340170929483,14.911805555555244,226.1954405929046,226.66226657329506
horizon_+25%,EH,1.0,0.0,0.0,0.0,0.0
horizon_+50%,E60,0.3333333333333333,76.340170929483,14.911805555555244,226.1954405929046,226.66226657329506
horizon_+50%,EH,1.0,0.0,0.0,0.0,0.0
delayed_10s,E60,0.3333333333333333,74.57853099573173,14.568749999999701,221.2886677170876,221.56873249299628
delayed_10s,EH,1.0,0.0,0.0,0.0,0.0
delayed_30s,E60,0.3333333333333333,71.05525112822916,13.882638888888618,211.45812966853455,211.55158730158954
delayed_30s,EH,1.0,0.0,0.0,0.0,0.0
partial_failure,E60,1.0,0.0,0.0,0.0,0.0
partial_failure,EH,1.0,0.0,0.0,0.0,0.0
w_ens=3,E60,0.3333333333333333,49.40998218731941,14.911805555555244,143.18540324463163,143.5623599439769
w_ens=3,EH,1.0,0.0,0.0,0.0,0.0
w_ens=8,E60,0.3333333333333333,116.73545404272836,14.911805555555244,350.710496615314,351.31212651727225
w_ens=8,EH,1.0,0.0,0.0,0.0,0.0
