p_hard,p_soft,z_soft,dev_attack_misses,n_attack,benign_open_frac,mean_open_latency_s
2,5,3.0,0,24,0.875,1.8333333333333333
2,5,4.0,3,24,0.375,1.5714285714285714
2,5,6.0,3,24,0.125,1.5714285714285714
2,8,3.0,3,24,0.375,1.5238095238095237
2,8,4.0,3,24,0.125,1.5714285714285714
2,8,6.0,3,24,0.125,1.5714285714285714
2,12,3.0,3,24,0.125,1.5714285714285714
2,12,4.0,3,24,0.125,1.5714285714285714
2,12,6.0,3,24,0.125,1.5714285714285714
2,10000,3.0,3,24,0.125,1.5714285714285714
2,10000,4.0,3,24,0.125,1.5714285714285714
2,10000,6.0,3,24,0.125,1.5714285714285714
3,5,3.0,0,24,0.875,2.625
3,5,4.0,3,24,0.375,2.5238095238095237
3,5,6.0,3,24,0.125,2.5714285714285716
3,8,3.0,3,24,0.375,2.4761904761904763
3,8,4.0,3,24,0.125,2.5714285714285716
3,8,6.0,3,24,0.125,2.5714285714285716
3,12,3.0,3,24,0.125,2.5714285714285716
3,12,4.0,3,24,0.125,2.5714285714285716
3,12,6.0,3,24,0.125,2.5714285714285716
3,10000,3.0,3,24,0.125,2.5714285714285716
3,10000,4.0,3,24,0.125,2.5714285714285716
3,10000,6.0,3,24,0.125,2.5714285714285716
5,5,3.0,0,24,0.875,4.125
5,5,4.0,3,24,0.375,4.333333333333333
5,5,6.0,3,24,0.125,4.571428571428571
5,8,3.0,3,24,0.375,4.380952380952381
5,8,4.0,3,24,0.125,4.571428571428571
5,8,6.0,3,24,0.125,4.571428571428571
5,12,3.0,3,24,0.125,4.571428571428571
5,12,4.0,3,24,0.125,4.571428571428571
5,12,6.0,3,24,0.125,4.571428571428571
5,10000,3.0,3,24,0.125,4.571428571428571
5,10000,4.0,3,24,0.125,4.571428571428571
5,10000,6.0,3,24,0.125,4.571428571428571
