scenario,kind,attack_type,opened_in_window,opened_any,t_open_s
gt_benign_norm_0,benign_normal,none,False,False,
gt_benign_norm_1,benign_normal,none,False,False,
gt_benign_norm_2,benign_normal,none,False,False,
gt_benign_norm_3,benign_normal,none,False,False,
gt_benign_norm_4,benign_normal,none,False,False,
gt_benign_norm_5,benign_normal,none,False,False,
gt_benign_norm_6,benign_normal,none,False,False,
gt_benign_norm_7,benign_normal,none,False,False,
gt_susp_clouds_a,benign_suspicious,none,False,False,
gt_susp_clouds_b,benign_suspicious,none,False,False,
gt_susp_noise_a,benign_suspicious,none,False,False,
gt_susp_noise_b,benign_suspicious,none,False,True,
gt_susp_mixed,benign_suspicious,none,False,False,
gt_susp_echo_0,benign_suspicious,none,False,True,
gt_susp_echo_1,benign_suspicious,none,False,True,
gt_susp_echo_2,benign_suspicious,none,False,True,
gt_fdi_near_noise,attack,fdi,False,False,
gt_fdi_mid,attack,fdi,True,True,1.0
gt_fdi_high_bess,attack,fdi,True,True,1.0
gt_fdi_late_short,attack,fdi,True,True,1.0
gt_spoof_mild,attack,command_spoof,True,True,1.0
gt_spoof_mid,attack,command_spoof,True,True,1.0
gt_spoof_deep_bess,attack,command_spoof,True,True,1.0
gt_spoof_slow_period,attack,command_spoof,True,True,8.0
gt_replay_short,attack,replay,True,True,1.0
gt_replay_long,attack,replay,True,True,1.0
gt_replay_bess,attack,replay,True,True,1.0
gt_replay_low_pen,attack,replay,True,True,1.0
gt_dos_short,attack,dos,True,True,3.0
gt_dos_long,attack,dos,True,True,3.0
gt_dos_bess,attack,dos,True,True,3.0
gt_dos_peakload,attack,dos,True,True,3.0
fdi_low,attack,fdi_low,False,False,
fdi_med,attack,fdi_med,False,False,
fdi_high,attack,fdi_high,True,True,1.0
