scenario,seed,arm,closed_loop_gate_coverage,initial_detector_gate_recall,time_to_gate_open,gate_event_count,first_action_s
h_dos_240_13,0,D0,True,False,6.0,242,156.0
h_dos_240_13,0,Q1,False,False,,0,
h_dos_240_13,0,L1,True,False,246.0,6,396.0
h_dos_240_13,0,QPROJ,False,False,,0,156.0
h_dos_240_13,0,LPROJ,False,False,,0,156.0
h_dos_240_13,0,OPROJ,True,True,3.0,238,156.0
h_dos_240_13,0,bareQ,False,False,,0,
h_dos_240_13,0,bareL,False,False,,0,
h_dos_240_13,1,D0,True,False,6.0,240,156.0
h_dos_240_13,1,Q1,False,False,,0,
h_dos_240_13,1,L1,True,False,250.0,2,400.0
h_dos_240_13,1,QPROJ,False,False,,0,156.0
h_dos_240_13,1,LPROJ,False,False,,0,156.0
h_dos_240_13,1,OPROJ,True,True,3.0,238,156.0
h_dos_240_13,1,bareQ,False,False,,0,
h_dos_240_13,1,bareL,False,False,,0,
h_dos_240_13,2,D0,True,False,6.0,242,156.0
h_dos_240_13,2,Q1,False,False,,0,
h_dos_240_13,2,L1,True,False,250.0,7,400.0
h_dos_240_13,2,QPROJ,False,False,,0,156.0
h_dos_240_13,2,LPROJ,False,False,,0,156.0
h_dos_240_13,2,OPROJ,True,True,3.0,238,156.0
h_dos_240_13,2,bareQ,False,False,,0,
h_dos_240_13,2,bareL,False,False,,0,
h_dos_300_13,0,D0,True,False,6.0,303,136.0
h_dos_300_13,0,Q1,False,False,,0,
h_dos_300_13,0,L1,True,False,323.0,2,453.0
h_dos_300_13,0,QPROJ,False,False,,0,136.0
h_dos_300_13,0,LPROJ,False,False,,0,136.0
h_dos_300_13,0,OPROJ,True,True,3.0,298,136.0
h_dos_300_13,0,bareQ,False,False,,0,
h_dos_300_13,0,bareL,False,False,,0,
h_dos_300_13,1,D0,True,False,6.0,302,136.0
h_dos_300_13,1,Q1,False,False,,0,
h_dos_300_13,1,L1,True,False,310.0,11,440.0
h_dos_300_13,1,QPROJ,False,False,,0,136.0
h_dos_300_13,1,LPROJ,False,False,,0,136.0
h_dos_300_13,1,OPROJ,True,True,3.0,298,136.0
