family,contrast,metric,n_cfg,mean_diff,ci_lo,ci_hi,d_z,n_zero_diff,p_raw,p_holm
F1,L1-D0,ens_kwh,33,4.397621,1.963624,7.124268,0.573756,24,0.0046,0.041398
F1,L1-D0,curt_kwh,33,2.321917,1.103086,3.651015,0.60761,23,0.0023,0.022999
F1,LPROJ-D0,ens_kwh,33,0.398267,-0.467127,1.639784,0.126017,23,0.727314,1.0
F1,LPROJ-D0,curt_kwh,33,0.490685,-0.142347,1.324514,0.220872,22,0.280286,1.0
F1,OPROJ-D0,ens_kwh,33,-0.285026,-0.686986,-0.049502,-0.268985,26,0.015249,0.106745
F1,OPROJ-D0,curt_kwh,33,0.130733,-0.328892,0.795619,0.076069,25,1.0,1.0
F1,Q1-D0,ens_kwh,33,3.654328,1.311631,6.347453,0.490575,26,0.015249,0.106745
F1,Q1-D0,curt_kwh,33,1.964315,0.796169,3.2781,0.524895,25,0.00825,0.065997
F1,QPROJ-D0,ens_kwh,33,0.185868,-0.61706,1.33364,0.062953,25,1.0,1.0
F1,QPROJ-D0,curt_kwh,33,0.337461,-0.328147,1.416547,0.11777,25,1.0,1.0
F1,bareL-D0,ens_kwh,33,8.132783,4.250732,12.459005,0.660774,21,0.0007,0.0084
F1,bareL-D0,curt_kwh,33,5.53345,3.179738,8.209274,0.738385,17,5e-05,0.0007
F1,bareQ-D0,ens_kwh,33,8.132783,4.250732,12.459005,0.660774,21,0.0007,0.0084
F1,bareQ-D0,curt_kwh,33,5.53345,3.179738,8.209274,0.738385,17,5e-05,0.0007
